R,G,B,R',G',B',X,Y,Z,L',M',S',L,M,S,L,a,b,,RGB,Min,Max
0.437500,0.375000,0.000000,0.160683,0.116016,0.000000,0.113375,0.117142,0.015553,0.128464,0.113026,0.046881,0.504577,0.483496,0.360577,0.488432,-0.013724,0.099856,,,,
0.500000,0.375000,0.000000,0.214041,0.116016,0.000000,0.136530,0.128490,0.016501,0.150462,0.124335,0.051594,0.531874,0.499111,0.372277,0.506522,0.007616,0.103322,,,,
0.562500,0.375000,0.000000,0.276518,0.116016,0.000000,0.163641,0.141777,0.017610,0.176219,0.137576,0.057112,0.560640,0.516235,0.385103,0.526114,0.028706,0.107096,,,,
0.625000,0.375000,0.000000,0.348510,0.116016,0.000000,0.194882,0.157088,0.018888,0.205900,0.152834,0.063471,0.590498,0.534654,0.398896,0.546959,0.049243,0.111130,,,,
0.687500,0.375000,0.000000,0.430393,0.116016,0.000000,0.230416,0.174502,0.020342,0.239658,0.170188,0.070704,0.621151,0.554170,0.413506,0.568838,0.069059,0.115382,,,,
0.750000,0.375000,0.000000,0.522522,0.116016,0.000000,0.270395,0.194095,0.021978,0.277639,0.189714,0.078842,0.652370,0.574601,0.428797,0.591560,0.088079,0.119813,,,,
0.812500,0.375000,0.000000,0.625232,0.116016,0.000000,0.314966,0.215939,0.023802,0.319984,0.211482,0.087914,0.683979,0.595787,0.444651,0.614961,0.106289,0.124391,,,,
0.875000,0.375000,0.000000,0.738845,0.116016,0.000000,0.364268,0.240101,0.025819,0.366823,0.235561,0.097949,0.715845,0.617591,0.460964,0.638905,0.123715,0.129088,,,,
0.937500,0.375000,0.000000,0.863669,0.116016,0.000000,0.418436,0.266648,0.028036,0.418284,0.262016,0.108975,0.747866,0.639896,0.477649,0.663278,0.140399,0.133880,,,,
1.000000,0.375000,0.000000,1.000000,0.116016,0.000000,0.477596,0.295642,0.030457,0.474489,0.290910,0.121017,0.779966,0.662602,0.494632,0.687984,0.156397,0.138748,,,,
0.000000,0.437500,0.000000,0.000000,0.160683,0.000000,0.060450,0.114913,0.017590,0.086174,0.109375,0.045273,0.441698,0.478233,0.356407,0.471040,-0.127188,0.097481,,,,
0.062500,0.437500,0.000000,0.005156,0.160683,0.000000,0.062688,0.116009,0.017681,0.088299,0.110468,0.045728,0.445300,0.479820,0.357598,0.473053,-0.123382,0.097853,,,,
0.125000,0.437500,0.000000,0.014350,0.160683,0.000000,0.066678,0.117964,0.017844,0.092090,0.112416,0.046540,0.451583,0.482625,0.359702,0.476593,-0.116819,0.098509,,,,
0.187500,0.437500,0.000000,0.029343,0.160683,0.000000,0.073184,0.121153,0.018111,0.098271,0.115594,0.047865,0.461468,0.487130,0.363082,0.482235,-0.106684,0.099558,,,,
0.250000,0.437500,0.000000,0.050876,0.160683,0.000000,0.082528,0.125733,0.018493,0.107149,0.120158,0.049767,0.474966,0.493458,0.367829,0.490078,-0.093218,0.101021,,,,
0.312500,0.437500,0.000000,0.079581,0.160683,0.000000,0.094985,0.131837,0.019003,0.118983,0.126241,0.052302,0.491845,0.501650,0.373973,0.500106,-0.076958,0.102900,,,,
0.375000,0.437500,0.000000,0.116016,0.160683,0.000000,0.110796,0.139586,0.019650,0.134004,0.133963,0.055520,0.511728,0.511676,0.381491,0.512217,-0.058594,0.105182,,,,
0.437500,0.437500,0.000000,0.160683,0.160683,0.000000,0.130179,0.149085,0.020443,0.152419,0.143430,0.059466,0.534170,0.523456,0.390321,0.526252,-0.038835,0.107841,,,,
0.500000,0.437500,0.000000,0.214041,0.160683,0.000000,0.153334,0.160433,0.021390,0.174417,0.154739,0.064179,0.558722,0.536866,0.400372,0.542022,-0.018312,0.110844,,,,
0.562500,0.437500,0.000000,0.276518,0.160683,0.000000,0.180445,0.173720,0.022500,0.200174,0.167980,0.069697,0.584973,0.551763,0.411534,0.559322,0.002461,0.114156,,,,
0.625000,0.437500,0.000000,0.348510,0.160683,0.000000,0.211686,0.189031,0.023778,0.229854,0.183238,0.076056,0.612563,0.567987,0.423687,0.577955,0.023106,0.117739,,,,
0.687500,0.437500,0.000000,0.430393,0.160683,0.000000,0.247220,0.206446,0.025232,0.263612,0.200592,0.083289,0.641193,0.585380,0.436713,0.597731,0.043361,0.121558,,,,
0.750000,0.437500,0.000000,0.522522,0.160683,0.000000,0.287199,0.226039,0.026868,0.301594,0.220118,0.091427,0.670616,0.603789,0.450496,0.618476,0.063062,0.125581,,,,
0.812500,0.437500,0.000000,0.625232,0.160683,0.000000,0.331770,0.247882,0.028692,0.343938,0.241886,0.100499,0.700638,0.623070,0.464930,0.640037,0.082118,0.129775,,,,
0.875000,0.437500,0.000000,0.738845,0.160683,0.000000,0.381072,0.272045,0.030709,0.390777,0.265965,0.110534,0.731100,0.643094,0.479917,0.662279,0.100491,0.134116,,,,
0.937500,0.437500,0.000000,0.863669,0.160683,0.000000,0.435240,0.298592,0.032925,0.442239,0.292420,0.121560,0.761878,0.663747,0.495371,0.685083,0.118176,0.138578,,,,
1.000000,0.437500,0.000000,1.000000,0.160683,0.000000,0.494400,0.327585,0.035346,0.498444,0.321314,0.133602,0.792876,0.684925,0.511216,0.708350,0.135193,0.143141,,,,
0.000000,0.500000,0.000000,0.000000,0.214041,0.000000,0.080524,0.153072,0.023431,0.114790,0.145695,0.060307,0.485998,0.526197,0.392153,0.518284,-0.139945,0.107258,,,,
0.062500,0.500000,0.000000,0.005156,0.214041,0.000000,0.082762,0.154168,0.023522,0.116915,0.146788,0.060762,0.488979,0.527510,0.393137,0.519948,-0.136791,0.107566,,,,
0.125000,0.500000,0.000000,0.014350,0.214041,0.000000,0.086751,0.156124,0.023685,0.120706,0.148737,0.061574,0.494208,0.529834,0.394881,0.522886,-0.131308,0.108110,,,,
0.187500,0.500000,0.000000,0.029343,0.214041,0.000000,0.093258,0.159312,0.023952,0.126887,0.151914,0.062899,0.502504,0.533580,0.397692,0.527594,-0.122732,0.108984,,,,
0.250000,0.500000,0.000000,0.050876,0.214041,0.000000,0.102602,0.163892,0.024334,0.135765,0.156478,0.064801,0.513959,0.538871,0.401661,0.534187,-0.111134,0.110211,,,,
